1755339432, 20m, 14074223, FT8, M0MLS, IO92AN, 223, Tx, DK3TNA, JO62PJ, 230, -4
1755339462, 20m, 14074242, FT8, M0MLS, IO92AN, 223, Tx, LB9GG, JP50MG, 266, -9
1755339420, 20m, 14074595, FT8, M7CCZ, JO02ND, 223, Tx, SM2GHI, KP25AX, 284, -12
1755339194, 20m, 14075748, FT8, G6GXH, IO81, 223, Tx, IS0BHY, JM49LL68, 225, -15
1755339269, 20m, 14075051, FT8, M5MOW, IO91VT55LM, 223, Tx, IS0BHY, JM49LL68, 225, -13
1755339404, 20m, 14074242, FT8, M0MLS, IO92AN, 223, Tx, IS0BHY, JM49LL68, 225, -12
1755339419, 20m, 14074883, FT8, M5MOW, IO91VT55LM, 223, Tx, KJ9E, FN10NC, 291, -24
1755339330, 20m, 14074228, FT8, M0MLS, IO92AN, 223, Tx, VY0ERC, ER60TB, 1, -22
1755339450, 20m, 14074303, FT8, G3WGC, JO02KT, 223, Tx, VY0ERC, ER60TB, 1, -16
1755339448, 20m, 14074843, FT8, 2E0KCU, IO91KF, 223, Tx, OH7NW, KP43CD, 224, -13
1755339224, 20m, 14075834, FT8, G6GXH, IO81, 223, Tx, YO8VV, KN36FW, 275, -18
1755339374, 20m, 14074329, FT8, M0MLS, IO92AN, 223, Tx, YO8VV, KN36FW, 275, -14
1755339419, 20m, 14074972, FT8, G8IXM, JO02PP29, 223, Tx, YO8VV, KN36FW, 275, -18
1755339419, 20m, 14074943, FT8, 2E0KCU, IO91KF, 223, Tx, YO8VV, KN36FW, 275, -24
1755339330, 20m, 14076449, FT8, M1DBW, IO91CO, 223, Tx, SM6ZDM, JO67DU, 284, -21
1755339465, 20m, 14074390, FT8, G3WGC, JO02KT, 223, Tx, SM6ZDM, JO67DU, 284, -19
1755339209, 20m, 14075031, FT8, M5MOW, IO91VT55LM, 223, Tx, G7HMV, IO91UU, 223, -11
1755339389, 20m, 14076075, FT8, M0SLI, JO02, 223, Tx, 5B4AMR, KM64FX, 215, -20
1755339450, 20m, 14074225, FT8, M0MLS, IO92AN, 223, Tx, SM4JST.RX1, JO79, 284, -9
1755339432, 20m, 14074224, FT8, M0MLS, IO92AN, 223, Tx, DC8SM, JN48PT, 230, -11
1755339464, 20m, 14074224, FT8, M0MLS, IO92AN, 223, Tx, W1VK, FM19EG44, 291, -20
1755339477, 20m, 14074837, FT8, 2E0KCU, IO91KF, 223, Tx, SM3MLX, JP82QJ, 284, -13
1755339461, 20m, 14074228, FT8, M0MLS, IO92AN, 223, Tx, IW3BYL, JN56NC51, 248, -5
1755339375, 20m, 14076075, FT8, M0SLI, JO02, 223, Tx, VA2GHZ, FN46WW, 1, -12
1755339464, 20m, 14074298, FT8, G3WGC, JO02KT, 223, Tx, W9SV, EN52TM, 291, -24
1755339462, 20m, 14074294, FT8, G3WGC, JO02KT, 223, Tx, OE5PSM, JN78DH43, 206, -19
1755339433, 20m, 14074601, FT8, M7CCZ, JO02ND, 223, Tx, K3RAW, FN00DP, 291, -19
1755339447, 20m, 14074869, FT8, 2E0KCU, IO91KF, 223, Tx, IK8NBE, JN71EB50, 248, -11
1755339462, 20m, 14074233, FT8, M0MLS, IO92AN, 223, Tx, OG2A, KP11PA, 224, -13
1755339449, 20m, 14074853, FT8, 2E0KCU, IO91KF, 223, Tx, DB8BT, JO42NL, 230, -9
1755339404, 20m, 14075816, FT8, GW7HQL, IO81IK, 294, Tx, DPH207, JO52AE, 230, -15
1755339464, 20m, 14074225, FT8, M0MLS, IO92AN, 223, Tx, F4MMF, JN36EW, 227, 2
1755339360, 20m, 14074309, FT8, M0MLS, IO92AN, 223, Tx, W1SZ, FN42LU66, 291, -16
1755339090, 20m, 14075000, FT8, M0LOW, IO90KT06, 223, Tx, N8LI, FN41FL75, 291, -16
1755339479, 20m, 14074871, FT8, G8IXM, JO02PP29, 223, Tx, IU2BZV, JN45MS, 248, -18
1755339450, 20m, 14074234, FT8, M0MLS, IO92AN, 223, Tx, G4IRN, IO82MO, 223, -7
1755339374, 20m, 14074571, FT8, M7CCZ, JO02ND, 223, Tx, RU3FA, KO84RV16, 54, -21
1755339465, 20m, 14075057, FT8, M5MOW, IO91VT55LM, 223, Tx, CT1EYQ, IM58OB, 272, -11
1755339195, 20m, 14074450, FT8, G8KHF, IO92KG, 223, Tx, N9NJY, EM58BL, 291, -15
1755339284, 20m, 14074295, FT8, G3WGC, JO02KT, 223, Tx, N9NJY, EM58BL, 291, -17
1755339465, 20m, 14074927, FT8, M5MOW, IO91VT55LM, 223, Tx, YO2CK, KN15LO, 275, -11
1755339465, 20m, 14075046, FT8, M5MOW, IO91VT55LM, 223, Tx, WZ7I, FN20KK83, 291, -8
1755339391, 20m, 14074259, FT8, G3WGC, JO02KT, 223, Tx, F1VAM, JN37RO, 227, -13
1755339477, 20m, 14074839, FT8, 2E0KCU, IO91KF, 223, Tx, DB2AN, JN47QQ, 230, -21
1755339480, 20m, 14074867, FT8, G8IXM, JO02PP29, 223, Tx, OH6HL, KP41FC, 224, -19
1755339462, 20m, 14074448, FT8, G3WGC, JO02KT, 223, Tx, PA1RW, JO32IH, 263, -14
1755339479, 20m, 14074867, FT8, G8IXM, JO02PP29, 223, Tx, W3DIY, FM19CC06, 291, -24
1755339435, 20m, 14074838, FT8, 2E0KCU, IO91KF, 223, Tx, SM2GHI, KP25AX, 284, -16
1755339450, 20m, 14074296, FT8, G3WGC, JO02KT, 223, Tx, SM2GHI, KP25AX, 284, -8
1755339450, 20m, 14074224, FT8, M0MLS, IO92AN, 223, Tx, SM2GHI, KP25AX, 284, -12
1755339464, 20m, 14074297, FT8, G3WGC, JO02KT, 223, Tx, KH6M, EL96UA59QG, 291, -9
1755339492, 20m, 14074250, FT8, M0MLS, IO92AN, 223, Tx, WB0YLE, FN20OE68, 291, -18
1755339480, 20m, 14074865, FT8, 2E0KCU, IO91KF, 223, Tx, WX8C, FN20SV, 291, -24
1755339492, 20m, 14074250, FT8, M0MLS, IO92AN, 223, Tx, WX8C, FN20SV, 291, 2
1755339462, 20m, 14074300, FT8, G3WGC, JO02KT, 223, Tx, EA1C, IN72JP, 281, -1
1755339462, 20m, 14075242, FT8, M0MLS, IO92AN, 223, Tx, DF3VG, JN48QM17, 230, 24
1755339480, 20m, 14074846, FT8, 2E0KCU, IO91KF, 223, Tx, UA3XFP, KO84DM, 54, -24
1755339492, 20m, 14074226, FT8, M0MLS, IO92AN, 223, Tx, F1PGQ, JN35AK, 227, 5
1755339330, 20m, 14075041, FT8, M5MOW, IO91VT55LM, 223, Tx, SA6BWX, JO67LR, 284, -12
1755339403, 20m, 14074232, FT8, M0MLS, IO92AN, 223, Tx, SA6BWX, JO67LR, 284, -3
1755339492, 20m, 14074208, FT8, M0MLS, IO92AN, 223, Tx, YO8BGE, KN36EW13WT, 275, 1
1755339494, 20m, 14074220, FT8, M0MLS, IO92AN, 223, Tx, FY4BC, GJ34SX, 63, -17
1755339105, 20m, 14075909, FT8, G6GXH, IO81, 223, Tx, DF6DBF, JO31SI, 230, -1
1755339330, 20m, 14074225, FT8, M0MLS, IO92AN, 223, Tx, N2YCH-1, FN31JG, 291, -23
1755339375, 20m, 14076075, FT8, M0SLI, JO02, 223, Tx, N2YCH-1, FN31JG, 291, -15
1755339030, 20m, 14074885, FT8, 2E0KCU, IO91KF, 223, Tx, DO2PHS, JO54CF, 230, -6
1755339285, 20m, 14075777, FT8, G6GXH, IO81, 223, Tx, DO2PHS, JO54CF, 230, -14
1755339492, 20m, 14074591, FT8, M7CCZ, JO02ND, 223, Tx, UY5BF, KN29TN, 288, -7
1755339465, 20m, 14075196, FT8, M5MOW, IO91VT55LM, 223, Tx, DL0PF, JN68RN16, 230, -12
1755339465, 20m, 14076442, FT8, M0SLI, JO02, 223, Tx, DL0PF, JN68RN16, 230, -20
1755339242, 20m, 14075641, FT8, M6INJ, IO90KT, 223, Tx, OH5YL, KP30, 224, -13
1755339420, 20m, 14074853, FT8, 2E0KCU, IO91KF, 223, Tx, OH5YL, KP30, 224, -14
