1755339134, 20m, 14075810, FT8, 2W0XGN, IO82NW, 294, Rx, EA3AGF, JN12, 281, -6
1755339134, 20m, 14075072, FT8, 2W0XGN, IO82NW, 294, Rx, OE6TNO, JN77RC, 206, -11
1755339149, 20m, 14076213, FT8, 2W0XGN, IO82NW, 294, Rx, SP9JCN, JO90LI15, 269, -16
1755339149, 20m, 14075558, FT8, 2W0XGN, IO82NW, 294, Rx, EA1AGM, IN83FL48, 281, -13
1755339149, 20m, 14076209, FT8, 2W0XGN, IO82NW, 294, Rx, PH9M, JO33GE, 263, -17
1755339164, 20m, 14076052, FT8, 2W0XGN, IO82NW, 294, Rx, RN3AKL, KO85TO99, 54, -18
1755339179, 20m, 14076004, FT8, 2W0XGN, IO82NW, 294, Rx, PA5COR, JO23TB90, 263, -13
1755339179, 20m, 14076106, FT8, 2W0XGN, IO82NW, 294, Rx, DL6KBW, JO30NQ, 230, -18
1755339179, 20m, 14074758, FT8, 2W0XGN, IO82NW, 294, Rx, DL6ZOG, JO52LM, 230, -12
1755339194, 20m, 14074725, FT8, 2W0XGN, IO82NW, 294, Rx, EA4GWT, IN80HJ, 281, -8
1755339194, 20m, 14075642, FT8, 2W0XGN, IO82NW, 294, Rx, OH6CQV, KP22, 224, -18
1755339223, 20m, 14076324, FT8, 2W0XGN, IO82NW, 294, Rx, IU2FRL, JN55JE, 248, -1
1755339238, 20m, 14075191, FT8, 2W0XGN, IO82NW, 294, Rx, SM6KKX, JO67DB, 284, -14
1755339254, 20m, 14074550, FT8, 2W0XGN, IO82NW, 294, Rx, DL1UDO, JO31OR, 230, -10
1755339254, 20m, 14076255, FT8, 2W0XGN, IO82NW, 294, Rx, V31DL, EK57NF, 66, -19
1755339268, 20m, 14075811, FT8, 2W0XGN, IO82NW, 294, Rx, OK1DBE, JN69, 503, -12
1755339283, 20m, 14075955, FT8, 2W0XGN, IO82NW, 294, Rx, RN1CW, KO59LM, 54, -11
1755339284, 20m, 14075565, FT8, 2W0XGN, IO82NW, 294, Rx, OE5CBM, JN67QU, 206, -18
1755339284, 20m, 14074809, FT8, 2W0XGN, IO82NW, 294, Rx, EA3GVB, JN11DV, 281, -16
1755339284, 20m, 14075241, FT8, 2W0XGN, IO82NW, 294, Rx, IW2HHL, JN46OA, 248, -18
