2025-08-15_19:33:56, 2m, 144175175, FT8, M7FWJ, IO92GM, 223, Rx, G0GXT, IO82RL, 223, 8
2025-08-15_19:33:56, 2m, 144175172, FT8, M0CRX, IO91KF, 223, Rx, 2E0IHV, IO91FM, 223, -16
2025-08-15_19:33:56, 2m, 144175295, FT8, M0CRX, IO91KF, 223, Rx, G0GXT, IO82RL, 223, -12
2025-08-15_19:34:11, 2m, 144175454, FT8, M0CRX, IO91KF, 223, Rx, G7GXK, IO90IS, 223, -15
2025-08-15_19:33:56, 2m, 144175549, FT8, G7GXK, IO90IS, 223, Rx, 2E0IHV, IO91FM, 223, -12
2025-08-15_19:33:56, 2m, 144175658, FT8, G7GXK, IO90IS, 223, Rx, G0GXT, IO82RL, 223, -9
2025-08-15_19:34:11, 2m, 144175583, FT8, 2E0IHV, IO91FM, 223, Rx, G7GXK, IO90IS, 223, -17
2025-08-15_19:32:59, 2m, 144175625, FT8, G4RRA, IO80BS81, 223, Rx, G8EEM, IO93MX, 223, -8
2025-08-15_19:33:31, 2m, 144174654, FT8, G4RRA, IO80BS81, 223, Rx, G0GXT, IO82RL, 223, -7
2025-08-15_19:34:41, 2m, 144174427, FT8, G0JDL, JO02SI84, 223, Rx, G6DDN, IO93BS, 223, -20
2025-08-15_19:33:57, 2m, 144175053, FT8, M0CYP, IO82SQ, 223, Rx, G0GXT, IO82RL, 223, 3
2025-08-15_19:33:45, 2m, 144175013, FT8, M0AAA, IO91NL, 223, Rx, 2E0IHV, IO91FM, 223, -6
2025-08-15_19:33:45, 2m, 144175135, FT8, M0AAA, IO91NL, 223, Rx, G0GXT, IO82RL, 223, -6
2025-08-15_19:34:00, 2m, 144175295, FT8, M0AAA, IO91NL, 223, Rx, G7GXK, IO90IS, 223, -13
2025-08-15_19:32:00, 2m, 144175625, FT8, GB0SNB.SDR, JO01DQ, 223, Rx, PA0KJK, JO22JL, 263, -24
2025-08-15_19:32:15, 2m, 144175095, FT8, GB0SNB.SDR, JO01DQ, 223, Rx, F6ASP, JO00WW, 227, -9
2025-08-15_19:33:45, 2m, 144175041, FT8, GB0SNB.SDR, JO01DQ, 223, Rx, G0GXT, IO82RL, 223, -1
2025-08-15_19:34:00, 2m, 144175199, FT8, GB0SNB.SDR, JO01DQ, 223, Rx, G7GXK, IO90IS, 223, -12
2025-08-15_19:37:41, 2m, 144175737, FT8, G4DCV, IO91OF, 223, Rx, PD1CMP, JO21NT10, 263, -11
2025-08-15_19:34:14, 2m, 144175821, FT8, G0OFE, IO90BR, 223, Rx, G7GXK, IO90IS, 223, 0
2025-08-15_19:37:41, 2m, 144175735, FT8, G4SWX, JO02RF, 223, Rx, PD1CMP, JO21NT10, 263, 24
